球队,中文名,英文名,号码,位置,身高,体重,球龄,img_url
魔术,科尔-安东尼,Cole Anthony,50,后卫,188,84,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_科尔-安东尼.png
魔术,加里-哈里斯,Gary Harris,14,后卫,193,95,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_加里-哈里斯.png
魔术,安东尼-布莱克,Anthony Black,-,后卫,201,91,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_安东尼-布莱克.png
魔术,乔纳森-艾萨克,Jonathan Isaac,1,前锋,208,104,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_乔纳森-艾萨克.png
魔术,萨格斯,Jalen Suggs,4,后卫,196,93,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_萨格斯.png
魔术,保罗-班凯罗,Paolo Banchero,5,前锋,208,113,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_保罗-班凯罗.png
魔术,特雷夫林-奎因,Trevelin Queen,12,后卫,196,86,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/魔术_特雷夫林-奎因.png
老鹰,奥涅卡-奥孔古,Onyeka Okongwu,17,前锋/中锋,208,109,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_奥涅卡-奥孔古.png
老鹰,特雷-杨,Trae Young,11,后卫,185,74,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_特雷-杨.png
老鹰,戴森-丹尼尔斯,Dyson Daniels,5,后卫,201,90,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_戴森-丹尼尔斯.png
老鹰,科比-巴夫金,Kobe Bufkin,4,后卫,193,88,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_科比-巴夫金.png
老鹰,杰伦-约翰逊,Jalen Johnson,1,前锋,203,99,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_杰伦-约翰逊.png
老鹰,小拉里-南斯,Larry Nance Jr.,22,前锋/中锋,203,111,9,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_小拉里-南斯.png
老鹰,特伦斯-曼恩,Terance Mann,14,后卫/前锋,196,98,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_特伦斯-曼恩.png
老鹰,扎卡里-里萨谢,Zaccharie Risacher,10,前锋,203,91,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_扎卡里-里萨谢.png
老鹰,戴奎翁-普劳登,Daeqwon Plowden,29,后卫/前锋,198,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_戴奎翁-普劳登.png
老鹰,雅各布-托平,Jacob Toppin,00,前锋,203,91,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_雅各布-托平.png
老鹰,加里森-马修斯,Garrison Mathews,24,后卫,198,98,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_加里森-马修斯.png
老鹰,克林特-卡佩拉,Clint Capela,15,中锋,208,116,10,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_克林特-卡佩拉.png
老鹰,维克-克雷伊奇,Vít Krej?í,27,后卫,203,88,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_维克-克雷伊奇.png
老鹰,穆罕默杜-盖耶,Mouhamed Gueye,18,前锋,208,95,1,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_穆罕默杜-盖耶.png
老鹰,卡里斯-勒维尔,Caris LeVert,3,后卫,198,93,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_卡里斯-勒维尔.png
老鹰,多米尼克-巴洛,Dominick Barlow,26,前锋,203,98,2,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_多米尼克-巴洛.png
老鹰,基顿-华莱士,Keaton Wallace,2,后卫,191,84,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_基顿-华莱士.png
老鹰,乔治-尼昂,Georges Niang,20,前锋,201,104,8,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/老鹰_乔治-尼昂.png
公牛,杰伦-史密斯,Jalen Smith,7,前锋/中锋,206,98,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_杰伦-史密斯.png
公牛,特雷-琼斯,Tre Jones,30,后卫,185,84,4,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_特雷-琼斯.png
公牛,科比-怀特,Coby White,-,后卫,196,88,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_科比-怀特.png
公牛,约什-吉迪,Josh Giddey,3,后卫,203,98,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_约什-吉迪.png
公牛,塔伦-霍顿-塔克,Talen Horton-Tucker,22,后卫,193,106,5,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_塔伦-霍顿-塔克.png
公牛,伊曼纽尔-米勒,Emanuel Miller,20,前锋,201,98,-,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_伊曼纽尔-米勒.png
公牛,多森姆,Ayo Dosunmu,11,后卫,196,91,3,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_多森姆.png
公牛,凯文-赫尔特,Kevin Huerter,13,后卫/前锋,201,90,6,C:/Users/13630/Desktop/信息检索课程设计/nba_all_players/公牛_凯文-赫尔特.png
